network,N,tmax,seed,deadlock,events,final_hungry,final_eat
classic,3,30.0,123,true,4,3,0
classic,3,30.0,124,true,4,3,0
classic,3,30.0,125,true,4,3,0
classic,3,50.0,123,true,4,3,0
classic,3,50.0,124,true,4,3,0
classic,3,50.0,125,true,4,3,0
classic,3,80.0,123,true,4,3,0
classic,3,80.0,124,true,4,3,0
classic,3,80.0,125,true,4,3,0
classic,5,30.0,123,true,9,5,0
classic,5,30.0,124,true,30,5,0
classic,5,30.0,125,true,6,5,0
classic,5,50.0,123,true,9,5,0
classic,5,50.0,124,true,30,5,0
classic,5,50.0,125,true,6,5,0
classic,5,80.0,123,true,9,5,0
classic,5,80.0,124,true,30,5,0
classic,5,80.0,125,true,6,5,0
classic,7,30.0,123,true,29,7,0
classic,7,30.0,124,true,23,7,0
classic,7,30.0,125,true,23,7,0
classic,7,50.0,123,true,29,7,0
classic,7,50.0,124,true,23,7,0
classic,7,50.0,125,true,23,7,0
classic,7,80.0,123,true,29,7,0
classic,7,80.0,124,true,23,7,0
classic,7,80.0,125,true,23,7,0
arbiter,3,30.0,123,false,47,1,1
arbiter,3,30.0,124,false,40,2,0
arbiter,3,30.0,125,false,41,1,1
arbiter,3,50.0,123,false,70,2,0
arbiter,3,50.0,124,false,72,1,0
arbiter,3,50.0,125,false,80,1,1
arbiter,3,80.0,123,false,121,0,1
arbiter,3,80.0,124,false,113,1,1
arbiter,3,80.0,125,false,131,1,1
arbiter,5,30.0,123,false,55,3,1
arbiter,5,30.0,124,false,60,4,0
arbiter,5,30.0,125,false,40,3,1
arbiter,5,50.0,123,false,76,3,1
arbiter,5,50.0,124,false,82,3,1
arbiter,5,50.0,125,false,79,3,1
arbiter,5,80.0,123,false,133,3,1
arbiter,5,80.0,124,false,125,3,0
arbiter,5,80.0,125,false,138,4,0
arbiter,7,30.0,123,false,43,5,0
arbiter,7,30.0,124,false,60,5,1
arbiter,7,30.0,125,false,54,5,1
arbiter,7,50.0,123,false,75,5,1
arbiter,7,50.0,124,false,90,5,1
arbiter,7,50.0,125,false,98,6,0
arbiter,7,80.0,123,false,130,5,0
arbiter,7,80.0,124,false,130,5,0
arbiter,7,80.0,125,false,144,5,1
