N,S,repairers,mean_crash_time,crash_share,mean_repairer_utilization,mean_repair_queue,mean_good_machines,analytic_crash_time
8,3,1,27620.552024257187,1.0,0.07925020832194789,0.007046493005899201,10.913703298672148,28839.062499992102
8,3,2,38204.57463236822,0.425,0.040569147663792854,0.0002588795865195921,10.918602825085895,110206.24999988939
8,3,3,46135.07896117242,0.2,0.026764946419058598,0.0,10.919705160742826,163096.87499989988
10,3,1,14743.04417103672,1.0,0.09778446308269234,0.010652068760480235,12.891563468156823,12339.99999999653
10,3,2,25707.88121816435,0.825,0.049563215213258176,0.0004130273642486534,12.900460542209231,46539.999999994056
10,3,3,34984.919267579215,0.575,0.033361150986083034,0.0,12.89991654704175,68639.99999994032
12,3,1,5293.384481009399,1.0,0.12908429350573403,0.025755783699681206,14.845159922794585,6221.604938271097
12,3,2,22066.637054632025,0.8,0.062173031366322094,0.001705830587348412,14.873948106679999,23142.90123456132
12,3,3,23688.540278918364,0.775,0.04032888046347318,0.0,14.879013358609578,34014.81481480473
14,3,1,3779.839403588813,1.0,0.1346289119238447,0.020263350161402155,16.84510773791475,3513.5776759682
14,3,2,13725.826801478319,0.95,0.07212605542531868,0.0007531998303197062,16.854994689319042,12882.590587254494
14,3,3,17952.471644853205,0.925,0.04693633310954013,0.0,16.85919100067138,18868.63806747285
16,3,1,2003.1250820266268,1.0,0.15942628505926143,0.030981746562858698,18.809591968377877,2156.34765625005
16,3,2,7514.367262646304,1.0,0.0809596743289646,0.001083962411802397,18.83699668893027,7788.671874999751
16,3,3,10376.617768636328,0.95,0.05423647847774066,0.0,18.837290564566782,11367.773437502516
